Code,Country,Title Of Document Or Source,English Translation Of Title (When Applicable),Source Type,Type Of Document Or Source,Link To Document Or Source,Date Of Publication,Language,Date Entered,Brief Explanation And Notes
DEN07,Denmark,Vaccination against Covid-19,-,-,-,https://www.sst.dk/-/media/English/Publications/2021/Corona/Vaccination/Vaccination_accessible-EN.ashx?la=en&hash=48F7C36749F897CF57C0E0FFF9733EF042B49B5B,06/04/2021,-,28 Jun 2021,-
DEN08,Denmark,Film - can you trust what you read about COVID-19 vaccines?,-,Vaccine Registration Website,-,https://www.sst.dk/en/english/publications/2021/film---can-you-trust-what-you-read-about-covid-19-vaccines,15/01/2021,English,28 Jun 2021,-
DEN09,Denmark,Information om behandling af personoplysninger (document uploaded to website/file DEN03),Information regarding treatment of personal data,Vaccine Registration Website,-,https://www.vacciner.dk/lib/Vaccine_covid-19_Information_om_behandling_af_personoplysninger.pdf,15/04/2021,Danish,28 Jun 2021,-
DEN10,Denmark,Corona passport – where and how?,-,National Implementation Plan,Other Government Communication,https://en.coronasmitte.dk/corona-passport,no date,English,24 Aug 2021,-
DEN11,Denmark,Pamphlet with information on vaccination against COVID-19.,-,National Implementation Plan,Other Government Communication,https://www.sst.dk/en/English/publications/2021/Vaccination-against-COVID-19---pamphlet,31 Aug 2021,English,3 Sep 2021,-
FRA01,France,La stratégie vaccinale et la liste des publics prioritaires,Vaccination strategy and list of priority people - Ministry of Solidarity and Health,Official Vaccine Policy,Official National Document,https://solidarites-sante.gouv.fr/grands-dossiers/vaccin-covid-19/publics-prioritaires-vaccin-covid-19,04/12/2020,French,14 Jun 2021,National strategy for the vaccination
FRA03,France,Vaccin contre la Covid-19 : quelles sont les règles ?,Vaccination against Covid-19: what are the rules?,Official Vaccine Policy,Other Government Communication,https://www.service-public.fr/particuliers/vosdroits/F35611,15/06/2021,French,22 Jun 2021,"Explains the process of the vaccination (who, where, how much, ...) with links to other information"
FRA04,France,Covid-19 : qui peut se faire vacciner et où ?,Covid-19: Who can be vaccinated and where?,Official Vaccine Policy,Other Government Communication,https://www.service-public.fr/particuliers/actualites/A14722,15/06/2021,French,22 Jun 2021,"There's a note mentioning that from 28 January 2021, foreigners and homeless persons without health insurance can get vaccinated"
FRA05,France,Covid-19 : comment se déroule la vaccination des étrangers en France ?,Covid-19: how is the rollout of the vaccination for foreigners in France?,National Implementation Plan,Media,https://www.liberation.fr/checknews/2021/01/28/covid-19-comment-se-deroule-la-vaccination-des-etrangers-en-france_1818586/,28/01/2021,French,22 Jun 2021,"News article explaining the vaccination strategy for foreigners, including undocumented and that they do not need to show an insurance card"
FRA07,France,Décret n° 2020-1833 du 31 décembre 2020 modifiant le décret n° 2020-73 du 31 janvier 2020 portant adoption de conditions adaptées pour le bénéfice des prestations en espèces pour les personnes exposées au coronavirus,Order n° 2020-1833 of 31 December 2020 modifying decree n° 2020--73 of 31 January 2020 on the adoption of adapted conditions to benefit the prestations given to people exposed by coronavirus,Official Vaccine Policy,Official National Document,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000042845695,01/01/2021,French,22 Jun 2021,"This decree states that the vaccination for covid-19 is free for all citizens, even people without health insurance"
FRA08,France,Stratégie de vaccination contre le Sars-Cov-2 - Recommandations préliminaires sur la stratégie de priorisation des populations à vacciner,Vaccination strategy against Sars-Cov-2 - preliminary recommendations on the strategy about prioritizing the population to vaccinate,Official Vaccine Policy,Official National Document,https://www.has-sante.fr/jcms/p_3221338/fr/strategie-de-vaccination-contre-le-sars-cov-2-recommandations-preliminaires-sur-la-strategie-de-priorisation-des-populations-a-vacciner#ancreDocAss,27/11/2020,French,4 Jul 2021,Vaccination strategy outlining the different phases of population who will be prioritized for the vaccination.
FRA09,France,Foire aux questions : la stratégie de vaccination,FAQ: vaccination strategy,National Implementation Plan,Other Government Communication,https://solidarites-sante.gouv.fr/grands-dossiers/vaccin-covid-19/je-suis-un-particulier/article/foire-aux-questions-la-strategie-de-vaccination,16/12/2020,French,5 Jul 2021,-
FRA10,France,Affichette A4 - Je me pose des questions sur la vaccination contre la Covid-19,Flyer A4 - I am asking myself questions about Covid-19 vaccination,National Implementation Plan,Other Government Communication,https://solidarites-sante.gouv.fr/grands-dossiers/vaccin-covid-19/je-suis-un-professionnel-de-sante-du-medico-social-et-du-social/article/supports-d-information-pour-les-publics-et-les-professionnels-concernes-par-la,04/02/2021,French,5 Jul 2021,-
FRA13,France,"Olivier Dussopt : la campagne de tests et de vaccination coûtera ""10 milliards d'euros en 2021""","Olivier Dussopt: both the track and trace and vaccination campaign will cost ""10 billion euros in 2021""",National Implementation Plan,Media,https://www.sudradio.fr/economie/olivier-dussopt-la-campagne-de-tests-et-de-vaccination-coutera-10-milliards-deuros-en-2021/,25/01/2021,French,31 Jul 2021,The article has a quote from Olivier Dussopt (the Minister of Public Action and Accounts) who acknowledges that the cost of the vaccination could be around 5 billion euros.
FRA14,France,La stratégie vaccinale contre la Covid-19,Vaccination strategy against Covid-19,National Implementation Plan,Official National Document,http://www.senat.fr/rap/r20-234/r20-234.html,15/12/2020,French,1 Aug 2021,Report made by senators and deputies about the vaccination strategy for Covid-19
FRA15,France,Covid-19 : une attestation de vaccination certifiée remise par le professionnel de santé,Covid-19: a vaccination certificate delivered by a health professional,Official Vaccine Policy,Other Government Communication,https://www.ameli.fr/assure/actualites/covid-19-une-attestation-de-vaccination-certifiee-remise-par-le-professionnel-de-sante,03/05/2021,French,3 Sep 2021,It shows how the vaccination certificate would look like and that a printed version can be delivered by an health worker
FRA16,France,Loi du 14 décembre 2020 de financement de la sécurité sociale pour 2021,Law of 14 December 2020 about budget of the social security system for 2021,National Implementation Plan,Other Government Communication,https://www.vie-publique.fr/loi/276423-loi-14-decembre-2020-financement-securite-sociale-2021-plfss-budget-secu#top,15/12/2020,French,31 Jul 2021,There's a brief mention about how much money (1.5 billion €) will be allocated to buy the vaccines.
POR01,Portugal,Plano de Vacinação COVID-19,Vaccination Plan,Official Vaccine Policy,Official National Document,https://covid19.min-saude.pt/wp-content/uploads/2020/12/PLANO-VACINAC%CC%A7A%CC%83O_20201203.pdf,03/12/2020,Portuguese,19 Jun 2021,First vaccination plan released in Dec 2020. It says the vaccine will be available for all Portugal residents.
POR02,Portugal,Vacina COVID-19 - Pedido de Agendamento,Registration website,Vaccine Registration Website,Registration Website,https://covid19.min-saude.pt/pedido-de-agendamento/,22/04/2021,Portuguese,19 Jun 2021,Registration website for get the vaccine
POR09,Portugal,"Governo e task force avaliam ""forma mais rápida"" de vacinar imigrantes ilegais",Government discusses the fastest way to offer a COVID-19 jab to illegal immigrants,National Implementation Plan,Media,https://www.dn.pt/sociedade/governo-e-task-force-avaliam-forma-mais-rapida-de-vacinar-imigrantes-ilegais-13834306.html,14/06/2021,Portuguese,19 Jun 2021,News article - Government discusses the fastest way to offer a COVID-19 jab to illegal immigrants
POR10,Portugal,Vacinacao Nao Utente,Registration website for undocumented people,Vaccine Registration Website,Registration Website,https://servicos.min-saude.pt/covid19/vacinacao-nao-utente,-,Portuguese,19 Jun 2021,Registration website for who does not have a public health registration number
POR13,Portugal,Atualização do Plano de Vacinação contra a COVID-19,Vaccination Plan - Update Jan-2021,Official Vaccine Policy,Official National Document,https://www.sns.gov.pt/wp-content/uploads/2021/01/Apresentacao_PlanoVacinacao_2020.01.28_VFINAL.pdf,28/01/2021,Portuguese,19 Jun 2021,Vaccination Plan - Update - Jan 2021 - document
POR16,Portugal,Orientações para respostas e intervenção com Pessoas em situação de sem-abrigo,Guidelines for responses and intervention with Homeless People,National Implementation Plan,Media,http://www.enipssa.pt/documents/10180/11876/COVID-19++Medidas+Espec%C3%ADficas+para+Pessoas+em+Situa%C3%A7%C3%A3o+Sem+Abrigo/4360032f-2e6e-4beb-a791-dcd0ccb54401,-,Portuguese,19 Jun 2021,Guidelines for social workers responses to homeless people
POR18,Portugal,Apresentação do plano de vacinação para a Covid-19,Vaccination plan announcement - press conference - video,Official Vaccine Policy,Other Government Communication,https://www.portugal.gov.pt/pt/gc22/comunicacao/multimedia?m=v&i=apresentacao-do-plano-de-vacinacao-para-a-covid-19,-,Portuguese,19 Jun 2021,Press conference (video): Government announces the vaccination plan
POR19,Portugal,Perguntas frequentes,Official FAQ,Official Vaccine Policy,Official National Document,https://covid19.min-saude.pt/perguntas-frequentes/,-,Portuguese,19 Jun 2021,FAQ in the official website
POR20,Portugal,Despacho n.º 3906/2021,Dispatch n.º 3906/2021,Official Vaccine Policy,Official National Document,https://dre.pt/application/file/a/161681400,-,Portuguese,3 Aug 2021,It's an official government notice about changes to the task force tasked with the elaboration of the national vaccination plan
POR21,Portugal,Certificado Digital COVID,Digital COVID certificate,Official Vaccine Policy,Official National Document,https://www.sns24.gov.pt/certificado-digital-covid/#aceder,-,Portuguese,3 Aug 2021,it's the website where one can access the digital certificate of vaccination against COVID-19
CZE02,Czechia,Očkování cizích státních příslušníků,Vaccination for foreign nationals,Vaccine Registration Website,Registration Website,cz: https://covid.gov.cz/situace/registrace-na-ockovani/ockovani-cizich-statnich-prislusniku en: https://covid.gov.cz/en/situations/register-vaccination/vaccination-foreign-nationals,13/06/2021,"Czech, English",15 Jun 2021,Foreigners with long-term visas but not registered in the national health system can get self-pay vaccinations. Other groups of foreigners are being negotiated
CZE04,Czechia,Metodický pokyn pro očkovací kampaň. Plán provedení,Methodical instructions for the vaccination campaign. Execution plan,National Implementation Plan,Official National Document,https://www.mzcr.cz/wp-content/uploads/2021/01/Metodick%C3%BD-pokyn-pro-o%C4%8Dkovac%C3%AD-kampa%C5%88-Pl%C3%A1n-proveden%C3%AD.pdf,17/06/2021,Czech,5 Jul 2021,citizen verification takes place via eGovernment services (NIA and Citizen's Portal)
CZE05,Czechia,Centrální rezervační systém - očkování proti covid-19 registrace pro samoplátce,Registration website for self-payers,Vaccine Registration Website,Registration Website,https://registrace.mzcr.cz/samoplatci,-,"Czech, English",5 Jul 2021,The website for third-country nationals not registered in the national public health system. It requests address and ID.
CZE06,Czechia,Who will be vaccinated first?,-,National Implementation Plan,Other Government Communication,https://covid.gov.cz/en/situations/register-vaccination/who-will-be-vaccinated-first,20/04/2021,"English, Czech",6 Jul 2021,FAQ on the Czech COVID portal on who will be vaccinated first
CZE07,Czechia,Vaccination timeline,-,National Implementation Plan,Other Government Communication,https://covid.gov.cz/en/situations/register-vaccination/vaccination-timeline,04/06/2021,"English, Czech",6 Jul 2021,The COVID website piece on the updated vaccination timeline
CZE08,Czechia,Očkování proti covidu-19 bude pro všechny občany zdarma. Blatný vyzývá k široké účasti,The COVID-19 vaccination will be free for all citizens. Blatný calls for broad participation,National Implementation Plan,Media,https://ct24.ceskatelevize.cz/domaci/3232900-ockovani-proti-covidu-19-bude-pro-vsechny-obcany-zdarma-blatny-vyzyva-k-siroke-ucasti,27/11/2020,Czech,6 Jul 2021,Minister of Health on the vaccination plan
CZE09,Czechia,Finanční zabezpečení očkování proti covid-19,Financial security of vaccination against COVID-19,National Implementation Plan,Official National Document,https://www.mzcr.cz/wp-content/uploads/2021/03/P%C5%99%C3%ADloha-3-%E2%80%93-Finan%C4%8Dn%C3%AD-zabezpe%C4%8Den%C3%AD.pdf,04/06/2021,Czech,6 Jul 2021,Official document (appendix to the national vaccination plan) on detailed strategy on financing/budgeting the vaccination plan
CZE10,Czechia,Popis procesu očkování,Description of the vaccination process,National Implementation Plan,Official National Document,https://www.mzcr.cz/wp-content/uploads/2021/01/P%C5%99%C3%ADloha-1-%E2%80%93-Popis-procesu-o%C4%8Dkov%C3%A1n%C3%AD.pdf,04/06/2021,Czech,6 Jul 2021,Official document (appendix to the national vaccination plan) on detailed description of how vaccination phases will be held and what categories of people are included there
CZE11,Czechia,Mediální a informační podpora,Media and information support,National Implementation Plan,Official National Document,https://www.mzcr.cz/wp-content/uploads/2021/03/P%C5%99%C3%ADloha-5-%E2%80%93-Medi%C3%A1ln%C3%AD-a-informa%C4%8Dn%C3%AD-podpora.pdf,04/06/2021,Czech,6 Jul 2021,Official document (appendix to the national vaccination plan) on the media and information support strategy
CZE12,Czechia,CENTRÁLNÍ REZERVAČNÍ SYSTÉM. Návod pro zájemce o očkování,CENTRAL RESERVATION SYSTEM. Instructions for those interested in vaccination,Vaccine Registration Website,Other Government Communication,https://koronavirus.mzcr.cz/wp-content/uploads/2021/04/manual_centralni-rezervacni-system_210422.pdf,20/04/2021,Czech,6 Jul 2021,Manual on how to use Central Reservation System to get registered for vaccination (consists information on personal data policy)
CZE13,Czechia,Vaccination for self-payers,-,National Implementation Plan,Other Government Communication,https://covid.gov.cz/en/situations/register-vaccination/vaccination-self-payers,13/06/2021,"English, Czech",6 Jul 2021,It contains the information on how to get vaccination without being in the national/regional health system
CZE14,Czechia,Central covid-19 vaccination booking system - registration to the system,-,Vaccine Registration Website,Registration Website,https://registrace.mzcr.cz/,-,"English, Czech",6 Jul 2021,Has information on how personal data will be processed
CZE15,Czechia,Telephone assistance with vaccination registration for seniors,-,National Implementation Plan,Other Government Communication,https://covid.gov.cz/en/situations/register-vaccination/telephone-assistance-vaccination-registration-seniors,14/05/2021,"English, Czech",6 Jul 2021,Not proficient digital users can register for vaccination through telephone assistance
CZE16,Czechia,Vaccination of immobile patients,-,National Implementation Plan,Other Government Communication,https://covid.gov.cz/en/situations/register-vaccination/vaccination-immobile-patients,02/04/2021,"English, Czech",6 Jul 2021,"Contains the information on how to get access to vaccination if you are immobile (also, a mobile vaccination team)"
CZE17,Czechia,Vaccination of caregivers of care allowance recipients,-,National Implementation Plan,Other Government Communication,https://covid.gov.cz/en/situations/register-vaccination/ended-vaccination-caregivers-care-allowance-recipients,17/06/2021,"English, Czech",6 Jul 2021,Contains the information on how to get access to vaccination if you are a caregiver of care allowance recipients
CZE18,Czechia,Certificate of Vaccination,-,National Implementation Plan,Other Government Communication,https://covid.gov.cz/en/situations/register-vaccination/certificate-vaccination,25/06/2021,"English, Czech",6 Jul 2021,It contains the information on how to acquire a certificate of vaccination and what information will be included in it.
CZE19,Czechia,Očkovací certifikát,Vaccination certificate,National Implementation Plan,Official National Document,https://www.uzis.cz/res/file/covid/covid-19-ockovaci-portal.pdf,01/06/2021,"English, Czech",30 Jul 2021,The template of the vaccination certificate given out by the Czech government.
GER04,Germany,Verordnung zum Anspruch auf Schutzimpfung gegen das Coronavirus SARS-CoV-2,Regulation on the right to vaccination against the SARS-CoV-2 coronavirus,Official Vaccine Policy,Official National Document,https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/C/Coronavirus/Verordnungen/ImpfVO_Kabinett_020621.pdf,02/06/2021,German,17 Jun 2021,"This is the same document as the one above, but it has a justification at the beginning before the official regulation."
GER05,Germany,Die Nationale Impfstrategie,The national vaccination strategy,National Implementation Plan,Other Government Communication,https://www.zusammengegencorona.de/impfen/basiswissen-zum-impfen/die-nationale-impfstrategie/,31/05/2021,German,17 Jun 2021,"Article by the German Ministry of Health on the government website about Germany's vaccination strategy. The article includes information on who can be vaccinated, where they can be vaccinated and changes to the strategy."
GER07,Germany,Wichtige Dokumente für Ihren Impftermin,Important documents for your vaccination appointment,-,Other Government Communication,https://www.zusammengegencorona.de/impfen/aufklaerung-zum-impftermin/wichtige-dokumente-fuer-ihren-impftermin/,04/06/2021,German,17 Jun 2021,"Article by the German Ministry of Health on the government website about documents that people need to bring to their appointments (e.g. passport, vaccination certificate)"
GER08,Germany,Informationen zu Impfgruppen und Terminvergabe in den Bundesländern,Information regarding vaccination groups and appointment allocation in the federal states,National Implementation Plan,Other Government Communication,https://www.zusammengegencorona.de/impfen/basiswissen-zum-impfen/informationen-zu-impfgruppen-und-terminvergabe-in-den-bundeslaendern/,08/06/2021,German,17 Jun 2021,Article by the German Ministry of Health on the government website about how the vaccination strategy is implemented in the federal states
GER09,Germany,Diese Reihenfolge gilt bei der Impfung,This order applies to vaccinations,National Implementation Plan,Other Government Communication,https://www.bundesregierung.de/breg-de/themen/corona-informationen-impfung/corona-impfverordnung-1829940,17/05/2021,German,17 Jun 2021,Article on the website of the German Government stating in which order people in Germany will be vaccinated and who will be in which prioritisation group.
GER15,Germany,Drucksache 19/28338. Schriftliche Fragen mit den in der Woche vom 6. April 2021 eingegangenen Antworten der Bundesregierung,"Printed matter 19/28338. Written questions with the answers received from the federal government in the week of April 6, 2021",National Implementation Plan,Other Government Communication,https://dserver.bundestag.de/btd/19/283/1928338.pdf#page=105,09/04/2021,German,21 Jun 2021,Question on p.99 of the document is about the vaccination of undocumented people
GER16,Germany,Medibüro Hamburg,-,-,Ngo,http://www.medibuero-hamburg.org,no date,German,5 Jul 2021,-
GER17,Germany,Impfnachweis,Vaccination certificate,Official Vaccine Policy,Other Government Communication,https://www.zusammengegencorona.de/impfen/aufklaerung-zum-impftermin/impfnachweis/,21/06/2021 (last updated),German,5 Jul 2021,-
GER18,Germany,"Spahn zur Impfverordnung: Die Schwächsten zu schützen, ist das erste Ziel",Spahn on the vaccination ordinance: Protecting the weakest is the first goal,National Implementation Plan,Other Government Communication,https://www.bundesregierung.de/breg-de/suche/spahn-impfverordung-1829996,18/12/2020,German,3 Aug 2021,press release on the vaccination rollout
AUS01,Austria,COVID-19-Impfungen: Priorisierung des Nationalen Impfgremiums,COVID-19 vaccinations: prioritization of the National Vaccination Board,National Implementation Plan,Official National Document,https://www.sozialministerium.at/dam/jcr:818f51d4-c9cf-4f5b-b7f5-1e30698392e4/COVID-19_Priorisierung_Nationalen_Impfgremiums_Version_5.0_(Stand__31.5.2021).pdf,31/05/2021,German,18 Jun 2021,The document contains the order in which the population will be vaccinated
AUS02,Austria,COVID-19-Impfungen: Anwendungsempfehlungen des Nationalen Impfgremiums,COVID-19 vaccinations: recommendations for use by the National Vaccination Board,National Implementation Plan,Official National Document,https://www.sozialministerium.at/dam/jcr:ec9ef4f5-f556-42f4-a19e-1aca05c58a8b/COVID-19-Impfungen%20Anwendungsempfehlung%20des%20Nationalen%20Impfgremiums_Version_4.0_(Stand%2031.05.2021).pdf,31/05/2021,German,18 Jun 2021,"The document contains recommendations regarding vaccines, the time between vaccinations, allergies, children, etc."
AUS04,Austria,COVID-19 Impfplan,COVID-19 vaccination schedule,National Implementation Plan,Official National Document,https://www.sozialministerium.at/dam/jcr:288e16f8-b08d-442f-aa02-2b8a5c0dbe1b/COVID_19_Impfplan.pdf,01/06/2021,German,18 Jun 2021,The document contains the phases in which the population will be vaccinated. It's based on the document outlining the prioritisation. Short English illustration available here: https://www.sozialministerium.at/dam/jcr:9d4d485c-34bd-429c-85cd-737f532faa16/210401_COVID-19-Impfplan%20mit%20Illustrationen_hoch_EN-UK_PDFua.pdf
AUS05,Austria,Jetzt Impfen: Anmeldung,Vaccinating now: Registration,Vaccine Registration Website,Registration Website,https://www.oesterreich-impft.at/impfanmeldung/,14/06/2021 (last updated),German,18 Jun 2021,"In Austria, there isn't one main website to book covid vaccinations. Instead, every state has their own website. This website provides information and links to all state's registration websites and procedures."
AUS08,Austria,Allgemeine Fragen,General questions (about the Covid vacciantion),National Implementation Plan,Other Government Communication,https://www.sozialministerium.at/Corona-Schutzimpfung/Corona-Schutzimpfung---Haeufig-gestellte-Fragen/Corona-Schutzimpfung-–-Haeufig-gestellte-Fragen---Allgemeine-Fragen.html,18/06/2021,German,18 Jun 2021,"The first paragraph states that anyone living in Austria can get a free Covid vaccination, even if they don't have a social security number."
AUS09,Austria,Corona-Schutzimpfung – Durchführung und Organisation,Corona vaccination - implementation and organization,National Implementation Plan,Other Government Communication,https://www.oesterreich-impft.at/impfplan/,no date,German,5 Jul 2021,-
AUS10,Austria,Unsere Videos,Our videos,-,Other Government Communication,https://www.oesterreich-impft.at/videos-uebersicht/,no date,German,5 Jul 2021,-
AUS11,Austria,Nationales Impfgremium,National vaccination committee,-,Other Government Communication,https://www.sozialministerium.at/Themen/Gesundheit/Impfen/Nationales-Impfgremium.html,26/05/2021 (last updated),German,5 Jul 2021,-
AUS12,Austria,Gerüchte und Fakten,Rumors and facts,National Implementation Plan,Other Government Communication,https://www.sozialministerium.at/Corona-Schutzimpfung/Corona-Schutzimpfung---Haeufig-gestellte-Fragen/Corona-Schutzimpfung---Gerüchte-und-Fakten.html,18/06/2021,German,5 Jul 2021,-
AUS13,Austria,Aufklärungs- und Dokumentationsbogen Corona-Schutzimpfung,Corona vaccination information sheet and documentation sheet,-,Other Government Communication,https://www.sozialministerium.at/dam/jcr:e11b58c1-71d3-47d4-b059-5960bfe39ef5/Schutzimpfung_Covid-19-Formular_mRNA-Impfstoffe.pdf,10/06/2021,German,5 Jul 2021,-
AUS14,Austria,"The most importantinformation at a glance",-,National Implementation Plan,Other Government Communication,https://www.sozialministerium.at/dam/jcr:eca01227-59b0-4800-abdf-28f7b7182dd4/210623_Corona-Schutzimpfung%20für%20Migrantinnen_6_UK_PDFua.pdf,01/06/2021,German,5 Jul 2021,-
AUS15,Austria,Grüner Pass,Green Pass,National Implementation Plan,Other Government Communication,https://www.gesundheit.gv.at/service/gruener-pass/inhalt,05/07/2021 (last updated),German,5 Jul 2021,-
AUS16,Austria,Grüner Pass: Datenschutzinformation gemäß Art. 14 DSGVO,Green Pass: data protection information in accordance with Art. 14 GDPR,National Implementation Plan,Other Government Communication,https://www.gesundheit.gv.at/service/gruener-pass/datenschutzinformation,10/06/2021 (last updated),German,5 Jul 2021,-
AUS17,Austria,Gesundheitsministerium: Österreichischer Impfplan präzisiert,Ministry of Health: Austrian vaccination plan specified,National Implementation Plan,Other Government Communication,https://www.ots.at/presseaussendung/OTS_20210211_OTS0183/gesundheitsministerium-oesterreichischer-impfplan-praezisiert,11/02/2021,German,3 Aug 2021,press release on the vaccination rollout
BEL01,Belgium,Vaccinatie Coronavirus Informatie,Belgian Government Website with Coronavirus vaccination information,Official Vaccine Policy,Other Government Communication,https://www.info-coronavirus.be/nl/vaccinatie/,-,"Dutch, French, English, German",20 Jun 2021,"On this website, you can find all the relevant information on Coronavirus vaccinations in Belgium (Who can have them, where, when, why, etc.) https://d34j62pglfm3rr.cloudfront.net/downloads/COVID19_VACCINATIESCHEMA_FR.jpg"
BEL12,Belgium,Coronavirus : les personnes sans-abri ou sans papiers seront-elles vaccinées? Comment procéder?,Coronavirus: will homeless or undocumented people be vaccinated? How to proceed?,National Implementation Plan,Media,https://www.rtbf.be/info/regions/bruxelles/detail_coronavirus-les-personnes-sans-abri-ou-sans-papiers-seront-elles-vaccinees-comment-proceder?id=10713694,07/03/2021,French,20 Jun 2021,RTBF article on the Belgian government plan to vaccinate homeless and undocumented people.
BEL13,Belgium,"Wanneer bent u aan de beurt? Zo ziet de Belgische vaccinatiestrategie er op dit moment uit, een overzicht per maand","Belgian Vaccination strategy, month per month",Official Vaccine Policy,Media,https://www.demorgen.be/nieuws/wanneer-bent-u-aan-de-beurt-zo-ziet-de-belgische-vaccinatiestrategie-er-op-dit-moment-uit-een-overzicht-per-maand~b5e156f8/,19/01/2021,Dutch,30 Jun 2021,"De Morgen article about the Belgian vaccination strategy, broken down month by month and gives locations of vaccination centres"
BEL19,Belgium,Your all-in-one guide to Belgium’s coronavirus vaccine rollout,-,Official Vaccine Policy,Media,https://www.politico.eu/article/belgium-guide-coronavirus-vaccination-when-how-to-get-jab/,21/03/2021,English,30 Jun 2021,"Politico article about the Belgian government's vaccination plan, month by month"
BEL20,Belgium,Federal - Vaccine doses administered and registered in VaccinNet compared to total number of vaccines doses delivers to Belgium since 18/03/2021,-,Official Vaccine Policy,Official National Document,https://d34j62pglfm3rr.cloudfront.net/downloads/TF-Vacc_week1503.pdf,18/03/2021,English,30 Jun 2021,Statistics and Graph published by VaccinNet on the vaccine delivery scheme and the amount of vaccines administered between 25 December 2020 to 18 March 2021
BEL21,Belgium,The federal government and the federated entities work together to vaccinate at least 8 million Belgians.,-,Official Vaccine Policy,Other Government Communication,https://www.famhp.be/en/news/the_federal_government_and_the_federated_entities_work_together_to_vaccinate_at_least_8_million,16/11/2020,English,16 Aug 2021,Article includes information about the members of the national vaccination task force
BEL23,Belgium,Covidsafe.be Frequently Asked Questions,-,National Implementation Plan,Other Government Communication,https://covidsafe.be/en/frequently-asked-questions#certificaten,no date,English,16 Aug 2021,It's the website of the app where you can get your digital certificate of vaccination
ITA01,Italy,Ordinanza 6_2021,Decree 6/2021,Official Vaccine Policy,Official National Document,https://vaccinocovid.regione.emilia-romagna.it/il-piano-vaccinale-regionale,01/06/2021,Italian,22 Jun 2021,Communication on the execution of the vaccination campaign.
ITA02,Italy,Vaccinazione anti-SARS-CoV-2/COVID-19 - Raccomandazioni ad interim sui gruppi target della vaccinazione anti-SARS-CoV-2/COVID-19,Anti-SARS-COV-2/COVID-19 Vaccination - Recommendations ad interim on target groups for anti-SARS-COV-2/COVID-19 vaccination,Official Vaccine Policy,Other Government Communication,https://www.vaccinarsi.org/assets/uploads/files/Piano_vaccinale_12_03_rev1_1.pdf,10/03/2021,Italian,22 Jun 2021,Strategic plan for the Covid-19 vaccination released by the Health Ministry.
ITA06,Italy,Decreto 2 gennaio 2021,Decree 2 of January 2021,National Implementation Plan,Official National Document,https://www.trovanorme.salute.gov.it/norme/renderNormsanPdf?anno=2021&codLeg=78657&parte=1%20&serie=null,02/01/2021,Italian,22 Jun 2021,Adoption of a strategic plan for anti-SARS-CoV-2 / COVID-19 vaccination
ITA07,Italy,Covid Ordinanza 7/2021,Covid decree 7_2021,National Implementation Plan,Official National Document,https://www.governo.it/it/dipartimenti/commissario-straordinario-lemergenza-covid-19/16710,24/04/2021,Italian,26 Jun 2021,Strategic guidelines for implementing the vaccination campaign.
ITA10,Italy,Ordinanza_N.3/2021,Decree n3_2021,Official Vaccine Policy,Official National Document,https://www.governo.it/sites/governo.it/files/documenti/documenti/Presidenza/CS-Covid19/Normativa/Ordinanze_2021/ORDINANZA_N_3.pdf,29/03/2021,Italian,28 Jun 2021,Decree about the independence of the Regions on the vaccination campaign.
ITA11,Italy,DPCM Green Pass,Decree Green Pass,National Implementation Plan,Official National Document,https://www.governo.it/it/articolo/green-pass-draghi-firma-il-decreto-dal-1-luglio-certificati-validi-tutta-l-ue/17184,17/06/2021,Italian,28 Jun 2021,Decree to activate the Green Pass in Italy.
ITA13,Italy,Come ottenere la Certificazione verde COVID-19,How to obtain the COVID-19 Green Pass,National Implementation Plan,Other Government Communication,https://www.dgc.gov.it/web/ottenere.html,no date,Italian,17 Aug 2021,Website for the digital certification of vaccination against COVID-19. Includes information on what are the necessary documents to obtain the certificate.
ITA14,Italy,Come funziona la Certificazione verde COVID-19,How does the COVID-19 Green Pass work,National Implementation Plan,Other Government Communication,https://www.dgc.gov.it/web/comeFunziona.html,no date,Italian,17 Aug 2021,Website for the digital certification of vaccination against COVID-19. Includes a mock-up of the digital and paper certificate
ITA15,Italy,"Vaccino Covid, il piano del governo illustrato da Speranza: le dosi e chi sarà vaccinato prima","Covid vaccine, Speranza explains the governmental plan: how many doses and who will be vaccinated first",National Implementation Plan,Media,https://www.corriere.it/politica/20_dicembre_02/vaccino-covid-piano-governo-illustrato-speranza-dosi-chi-sara-vaccinato-prima-91af0744-347f-11eb-b1bc-a76a672bf85e.shtml,02/12/2020,Italian,12 Sep 2021,Example of statement / Health Ministry explaining vaccination policy
ITA16,Italy,"Coronavirus, ecco il piano vaccini di Speranza: “Useremo fiere e palestre, coinvolto l’esercito. Le prime dosi di Pfizer entro il 26 gennaio”","Coronavirus, Speranza's vaccination plan: ""we will use exhibition spaces and gyms; the army will be involved. First Pfizer doses by 26 January""",National Implementation Plan,Media,https://www.ilfattoquotidiano.it/2020/12/01/coronavirus-ecco-il-piano-vaccini-di-speranza-useremo-fiere-e-palestre-coinvolto-lesercito-le-prime-dosi-di-pfizer-entro-il-26-gennaio/6023526/,01/12/2020,Italian,12 Sep 2021,Example of statement / Health Ministry explaining vaccination policy
